,Tweets
1676,"@ShaneDolphin99 @PatrickHoganYFG @ucdagfood @FineGael Hogan was a very progressive Minister for Agriculture. FG now destroying rural Ireland with their forestry policy. Vast areas of west of Ireland being depopulated for the benefit of big business and paid for by us, the taxpayers."
1677,"Do you move food or animal products between 🇮🇪🇬🇧? 

Take the time to catch this excellent #webinar series from #Ireland’s Dept. of Agriculture, Food &amp; the Marine👇 
#Brexit #trade #business #food https://t.co/XpfYto27Dk"
1678,"@netmork There are concentrations elsewhere - Britain, Ireland, Centre-Ouest, Languedoc, Spain, Holland, Denmark, Germany. Not as well known perhaps. Maybe better survival rates in Brittany too due to less intensive agriculture than elsewhere. Still my favourite, most diverse region tho."
1679,"Scotland and Ireland are bright spots ...
https://t.co/7iYIQjsJaF
https://t.co/SBoBdCGpwD

#Agriculture #Altararwah #Altararwahcom #Aquaculture #Aquaculturecage #Aquacultured ... https://t.co/Sm5Tws68Hx"
1680,"Really welcome Public Consultation on a Micro-generation Support Scheme (MSS) for renewables in Ireland that will hopefully allow homeowners, agriculture and small business to be paid for excess energy they might generate and feed back into grid https://t.co/EX3C8jY3Uc"
1681,"Decoding the #Brexit deal [Trade in Northern Ireland] Unlike the rest of the UK, Northern Ireland will continue to follow EU single market rules for goods and agriculture and will keep applying the EU’s Union Customs Code, while introducing new... https://t.co/RMPdBNNdUb"
1682,@RossHamiltonG @pippa_hackett @agriculture_ie @greenparty_ie @ireland_farming @IrishOrganicA @organictrust Hi Ross think there was a presentation on this last week in @ORFC might just have been UK tho but I'll have a look for the link.
1683,@pippa_hackett @shacklej @agriculture_ie @greenparty_ie @ireland_farming @IrishOrganicA @organictrust The handle is incorrect Pippa - it’s @farmfornature not @farmingfornature
1684,"@pippa_hackett @shacklej @agriculture_ie @greenparty_ie @ireland_farming @IrishOrganicA @organictrust Hi Pippa, how much prescribed medicines are used by the average Irish dairy farmer &amp; beef farmers vs average EU “organic” certified dairy farmer &amp; Beef farmer?"
1685,"RT @IrelandEmbGB: Moving food or animal products between 🇮🇪🇬🇧? 
Take a look at this excellent #webinar series from #Ireland’s Dept. Agriculture, Food &amp; the Marine below👇 
#Brexit #trade #business #food https://t.co/IEJV7RU83Q"
1686,"Moving food or animal products between 🇮🇪🇬🇧? 
Take a look at this excellent #webinar series from #Ireland’s Dept. Agriculture, Food &amp; the Marine below👇 
#Brexit #trade #business #food https://t.co/25b50dDTfQ"
1687,"Big Ag proponents are influencing classrooms in Ireland with learning materials that misrepresent the role of agriculture in contributing to climate change, pollution, and biodiversity loss. https://t.co/sC6DSG8xi2"
1688,"Irish agrifood exports to Japan up 10.5% Jan-Nov 2020, year-on-year despite Covid dislocations. Post-Brexit diversification in action. Well done the sector &amp; strong @Bordbia &amp; @agriculture_ie component of Team Ireland, Tokyo @IFAmedia @farmersjournal @asiamatters_biz @IJCC_Tokyo https://t.co/Q4TgXVz0xC"
1689,"@ColdChainShane The Republic of Ireland is self sufficient in food, but we export most of of our food. NI though produces £2.2 bn of food and consumes £1.6 bn I read on the NI Dept of Agriculture website."
1690,"Day 3: #DLFMultiSpecies Focus Week: Multi-species Swards Research in Ireland

UCD, Teagasc and WIT are each carrying out significant research projects examining the potential of multi-species swards in agriculture.

Join the discussion group https://t.co/lToVjTUNFJ https://t.co/udGNGZ4eEu"
1691,"@jxnnyway I had a lovely holiday once in Ireland. What struck me was what a wonderful place it would be if it was a few hundred miles further south in latitude.
Its climate is worse than U.K's, the mountains are round the coast making it bad for agriculture and the people equally unhappy."
1692,"Ireland of years gone by gives an understanding how Ireland roots are in agriculture.
To understand a culture you need to have an insight into the whole. It’s history, it’s people and how today’s Ireland is a product of it’s past. The language of Ireland is the oldest in Europe https://t.co/UVddpuTLua"
1693,"If you missed this webinar 'Digital Transformation – Demonstrating value' In this salon DEFRA &amp; DAERA, their Northern Ireland equivalent, talk about digital transformation in the agriculture sector.

Listen recording here  👩🏻‍💻https://t.co/ArW8xfc0fx

#Digileaders"
1694,"@catlowry54 is doing tremendous work for animals at #HilltopSanctuary She deserves more cooperation than this...

https://t.co/r2NCin8wEf

Tim, @petbond_ireland If you could exert influence on @agriculture_ie to address this ongoing negligence.

Many thanks !"
1695,"#Call for co-authored #paper on ""Mapping territories of #commons in #Europe""
Looking 4 authors from #Hungary #Ireland #Latvia #Slovenia #Albania #Bosnia #Macedonia #Moldova #Serbia DM if interested details below 👇
#commonlands #foodcommons #agriculture #CommonAgriculturalPolicy https://t.co/xopQiMImDl"
1696,"@NorthYorksChris @GroteVoet @PaulANettleton @JohnRentoul Ireland lives in the EU room marked ""Little Countries"". Every morning a German comes in and tells them what to do. Ireland is not a real country anymore. It has given away it's money, borders, foreign policy, trade policy, fisheries, agriculture &amp; law making. Taxation next to go."
1697,@handballpro @whittledaway @OriginGreen The Kyoto agreement was the first real attempt at addressing global warming that the public became aware of and the Paris agreement was politicians getting serious about it. In the meantime agriculture is vital for rural Ireland and needs to be protected while we change it.
1698,"@Sacro @paulstype @WhitstableStev1 @U_WontLike_Me @BritainElects @RedfieldWilton @CityWestminster Northern Ireland has to follow limited amount of EU Single Market rules related to some goods and agriculture. And the Northern Ireland assembly every 4 years can opt to terminate that protocol if it wants

Northern Ireland remains part of UK Internal Market and Customs Territory"
1699,"I see an enormous decrease in insect and animal life due to intensive agriculture.
The only thing the Green Party in Ireland seem to care about is CO2."
1700,@Aldi_Ireland I'll get my vegetables locally through community supported agriculture. Check out https://t.co/Th1Iegwl2Z
1701,"If Scottish fishermen can land in Denmark, why can’t NI boats land in more ports in Ireland? @agriculture_ie @PearseDoherty https://t.co/VJ5ybWC7k7"
1702,"A bit overdue, this explainer on UK-Switzerland continuity deals is now updated post-transition using Swiss govt notes.

FTA
Rules of origin
Customs cooperation
Mutual recognition
Agriculture/animals
Govt procurement
Northern Ireland
Service professionals

https://t.co/0XZ1hkh4Zp"
1703,Ireland's Agriculture Minister: Please Ban Extremely cruel practices under Animal Welfare Law - Sign the Petition! https://t.co/obCK5Pnoox μέσω του χρήστη @Change
1704,The UFU president and Northern Ireland Agriculture Minister have very different stances on the issue https://t.co/08QAUiyx8E
1705,"@AndrewRosindell We are still locked in, look at Ireland &amp; fishing industry.
They talk of their livelihoods where was our government when EU passed agriculture &amp; fishing bill that took away our fishermen’s rights
Your letting the EU dominate our truckers &amp; exports but do nothing about EU imports"
1706,"Really interesting and thought-provoking @TeagascEnviron #TheSignPostSeries presentation from @DaleCrammond this morning. We are fully committed to working with @agriculture_ie, @McConalogue and farmers to help improve water quality as part of Ireland's climate goals."
1707,"@stephenj_colvin Analysis by the Irish govt’s Dept of Agriculture, Food &amp; Marine shows EU fishing quotas drop &amp; UK quotas expand by the end of the fishing transition period. By 2026 Ireland &amp; Germany will lose 15%,  Netherlands 10%, France 8%, Denmark &amp;Belgium 7%, Spain 4%. All revert to the UK."
1708,"Analysis by the Irish govt’s Dept of Agriculture, Food &amp; Marine shows EU fishing quotas drop &amp; UK quotas expand by the end of the fishing transition period. By 2026 Ireland &amp; Germany will lose 15%,  Netherlands 10%, France 8%, Denmark &amp;Belgium 7%, Spain 4%. All revert to the UK. https://t.co/Ous1td6dRv"
1709,"Analysis by the Irish govt’s Dept of Agriculture, Food &amp; Marine shows EU fishing quotas drop &amp; UK quotas expand by the end of the fishing transition period. By 2026 Ireland &amp; Germany will lose 15%,  Netherlands 10%, France 8%, Denmark &amp;Belgium 7%, Spain 4%. All revert to the UK. https://t.co/RWWxfXUjap"
1710,"Decoding the #Brexit deal [Trade in Northern Ireland] Unlike the rest of the UK, Northern Ireland will continue to follow EU single market rules for goods and agriculture and will keep applying the EU’s Union Customs Code, while introducing new... https://t.co/MLY8dUBw36"
1711,"Online debate US blockade vs Cuban agriculture and production of food, participation of Cuban experts on agro-sector and farmers.  Saturday 16 January at 2pm Ireland time.
You are invited to follow debate: @siempreconcuba @dnoramICAP https://t.co/0vZGWqiNDG"
1712,Effective Increment In Trends Of Ireland Agriculture Market Outlook: Ken Research - https://t.co/Zcr9JFVJwI https://t.co/li4popfu9u
1713,Effective Increment In Trends Of Ireland Agriculture Market Outlook: Ken Research - https://t.co/ePq7ZQ2pgU https://t.co/Tk7llN5t0Z
1714,"Domestic Milk Intake up by 8.9% in November 2020

https://t.co/j3ccbveRIJ 

#CSOIreland #Ireland #Agriculture #Agribusiness #Farming #Prices #AgPrices #Livestock #Cattle #MilkStatistics #MilkProduction #Dairy #Milk https://t.co/7MQd93lcKC"
1715,Check out my latest article: Effective Increment In Trends Of Ireland Agriculture Market Outlook: Ken Research https://t.co/t37q5OK2u7 via @LinkedIn
1716,Effective Increment In Trends Of Ireland Agriculture Market Outlook: Ken Research https://t.co/qHR97mYFB1
1717,"#forestry Approx 2k H.A planted in Ireland in 2020, 2021 won't reach 1.5K H.A. Gov Trgt for both those years 8K H.A. @agriculture_ie @climate_ambass @McConalogue @pippa_hackett @MichealMartinTD @LeoVaradkar @EamonRyan @CowenBarry @colmhayes1"
1718,"@tconnellyRTE Republic of Ireland fishermen in Irish boats are allowed to land catch in Northern Ireland, meanwhile (at least up to 2 days ago) Boats registered in N Ireland (irrespective of citizenship of crew), were being refused landing at most ROI ports.

Has @agriculture_ie sorted this? https://t.co/GmErl2txCP"
1719,The DUP agriculture Minister Edwin Poots has warned that hospitals and schools risk running out of food due to the implementation of the Northern Ireland protocol. https://t.co/SB4hWM89zs
1720,"@philipreck @BaseIreland @agriculture_ie @NatOrgSkill I can't take any credit there Philip 🤣
another Base Ireland farmer in the north east"
1721,"Award-winning grower Kevin Wallace @NewLeafUrbnFarm based in County Limerick is taking subscriptions for his new Community Supported Agriculture (CSA) Vegetable Box Scheme, the first of its kind available in Ireland https://t.co/VO7zNusCi7 #eatinlimerick #limerickfood #bialuimni"
1722,"Government must act to avert ‘major crisis’ in food supply, says Northern Ireland minister
DUP’s agriculture minister says schools and hospitals running low on food https://t.co/rxA7Qd9k6U"
1723,"@dem_cath Started with Farage and Cameron playing games. May was stupid with leaving SM &amp; CU, finally 🤡 buggered Ireland, the City, fishing, agriculture, etc Lunatics!"
1724,@Andrew_Adonis Ireland has been planning while Boris thought they would only be worried about selling spuds to England. Also ferries going to Dunkirk. Easier for drivers as can start in Europe with clear taco graph. Less than 1% of Irish GDP agriculture and England far from a export market.
1725,@John_Divney_ @whitestrat69 @OxfordDiplomat Well said. Tories think Ireland still land of bog and little people. Less than 1% of Irish GDP agriculture. Remember Boris thought Varadker should be called Murphy.
1726,"Vacancies on the @MarineInst (#Ireland) Board 
@agriculture_ie invites applications to fill 
- Seafood/Sea Fisheries Sector
- Climate Impacts&amp;Mitigation
- Ocean Energy &amp;/or Marine Technology
- Marine Research&amp;Development 

More info: https://t.co/T0gsqyYObr
Closing date: 29 Jan"
